InternKrz|StatistikKrz|Anrede|Titel|Nachname|Vorname|Geschlecht|Geburtsdatum|Staatsang|PLZ|Ort|Straße|Tel. Festnetz|Tel. mobil|E-Mail|Rechtsverhältnis|Beschäftigungsart|Einsatzstatus|Pflichtstunden-Soll|Schulleitung|statistik-relevant|Stammschulnr.|dienstl. E-Mail
ADAM|ADAM|Frau||Adams|Martina|w|11.03.1976|000|52396|Heimbach|Damaschkestraße 103|01234-679928|0197-293598|M.Adams@lmail.de||||||J|123456|
ANDE|ANDE|Frau||Anders|Ute|w|21.03.1991|000|53909|Zülpich|Bayernallee 114|01234-430246|0197-831290|U.Anders@lmail.de||||||N|123456|
ARNI|ARNI|Herr||Arnim|Stefan|m|18.07.1988|000|48308|Senden|Schulzendorfer Straße 474|01234-825371|0197-339350|S.Arnim@lmail.de||||||N||
BALD|BALD|Herr||Baldes|Leon|m|13.02.1997|000|47529|Duisburg|Stallstraße 317|01234-686959|0197-169588|L.Baldes@lmail.de||||||J||
BEIT|BEIT|Herr||Beitzheim|Mike|m|11.05.1966|000|51597|Morsbach|Leuschnerdamm 21|01234-896982|0197-383892|M.Beitzheim@lmail.de||||||J|123456|
BELE|BELE|Frau||Belessis|Uta|w|01.10.1975||46236|Bottrop|Kirchhofs-Straße 420|01234-424388|0197-495243|U.Belessis@lmail.de||||||J|123456|
BERQ|BERQ|Frau||Berque|Uta|w|04.04.1984|000|47546|Kalkar|Finkenschlag 273|01234-939193|0197-592135|U.Berque@lmail.de||||||J|123456|
BLAS|BLAS|Herr||Blasum|Sebastian|m|19.10.1955|000|48369|Saerbeck|Rialtoring 26|01234-750159|0197-203000|S.Blasum@lmail.de||||||N|123456|
BLOC|BLOC|Frau||Block|Sara|w|02.01.2000|368|47807|Krefeld|Schönholzer Straße 249|01234-895431|0197-611636|S.Block@lmail.de||||||N||
BOHL|BOHL|Herr||Bohland|Dieter|m|15.01.1992|000|44149|Dortmund|Roedernstraße 197|01234-364248|0197-477217|D.Bohland@lmail.de||||||N|123456|
BORK|BORK|Frau||Borke|Stephanie|w|06.05.1956|000|42489|Wülfrath|Chaussee nach Berlin 233|01234-170822|0197-583077|S.Borke@lmail.de||||||N|123456|
BROD|BROD|Herr||Broder-Petersen|Paul|m|19.07.1974|000|50739|Köln|Beutenweg 381|01234-685078|0197-648223|P.Broder-Petersen@lmail.de||||||J|123456|
BRÜS|BRÜS|Frau||Brüser|Sabrina|w|08.12.1977|000|50169|Kerpen|Achenbachstraße 67|01234-989462|0197-312684|S.Brüser@lmail.de||||||J|123456|
BUCH|BUCH|Herr||Buchholz|Klaus|m|11.12.1956|000|50226|Frechen|Am Erpetal 254|01234-612506|0197-567886|K.Buchholz@lmail.de||||||N|123456|
BUCK|BUCK|Herr||Buck|Jürgen|m|30.08.1983|000|48361|Beelen|Bernhard-Lichtenberg-Straße 178|01234-893224|0197-842360|J.Buck@lmail.de||||||N|123456|
BULL|BULL|Frau||Bullerbeck|Simone|w|13.12.1993|000|41068|Mönchengladbach|Seddinpromenade 31|01234-292631|0197-932557|S.Bullerbeck@lmail.de||||||N|123456|
BURK|BURK|Frau||Burkhardt|Karolin|w|17.10.1991|000|64807|Dieburg|Sankt-Wolfgang-Straße 262|01234-563029|0197-404734|K.Burkhardt@lmail.de||||||J|123456|
CLAE|CLAE|Herr||Claeßens|Daniel|m|20.04.1990|000|58339|Breckerfeld|Schloßplatz 374|01234-691242|0197-287596|D.Claeßens@lmail.de||||||N|123456|
CONR|CONR|Herr||Conrad|Jürgen|m|14.04.1974|000|45879|Gelsenkirchen|Birkenwäldchenstraße 426|01234-162489|0197-237687|J.Conrad@lmail.de|||||Vertret|J|123456|
CRAB|CRAB|Herr||Crabiell|Dominik|m|16.11.1993|000|59955|Winterberg|Ekhofstraße 417|01234-532537|0197-134264|D.Crabiell@lmail.de||||||N||
CRUM|CRUM|Herr||Crump|Thorsten|m|18.12.1961|000|59759|Arnsberg|Ragower Weg 340|01234-995414|0197-292025|T.Crump@lmail.de||||||J|123456|
CZAR|CZAR|Frau||Czarnowske|Monika|w|05.02.1977|000|33142|Büren|Am Spandauer Berg 249|01234-391644|0197-553470|M.Czarnowske@lmail.de||||||J|123456|
CZEK|CZEK|Herr||Czekalla|Dennis|m|29.08.1970||52499|Baesweiler|Mandrellaplatz 28|01234-356256|0197-461109|D.Czekalla@lmail.de||||||J|123456|
DEBU|DEBU|Herr||Debus|Jens|m|23.01.1994|000|45279|Essen|Neue Jakobstraße 225|01234-561921|0197-645104|J.Debus@lmail.de||||||N||
DIEB|DIEB|Frau||Diebitsch-Oeitersdorf|Franziska|w|06.02.1988|000|41334|Nettetal|Neuer Weg 362|01234-927529|0197-165755|F.Diebitsch-Oeitersdorf@lmail.de||||||J|123456|
DIEL|DIEL|Herr||Diele|Dieter|m|19.11.1957|000|45149|Essen|Oberspreestraße 195|01234-732813|0197-453972|D.Diele@lmail.de||||||N|123456|
DODS|DODS|Frau||Dodson|Diana|w|14.03.1979|000|46049|Oberhausen|Nickelswalder Straße 298|01234-424070|0197-707620|D.Dodson@lmail.de||||||J|123456|
DÜBG|DÜBG|Frau||Dübgen|Andrea|w|20.06.1981|000|32839|Steinheim|Triglawstraße 84|01234-398007|0197-744192|A.Dübgen@lmail.de||||||J|123456|
DUEC|DUEC|Frau||Duechs|Nadine|w|26.02.1981|000|59065|Hamm|Bolivarallee 372|01234-156320|0197-506004|N.Duechs@lmail.de||||||N|123456|
DÜRC|DÜRC|Frau||Dürckheim|Claudia|w|25.11.1971|000|59555|Lippstadt|Berghofer Weg 29|01234-579983|0197-803104|C.Dürckheim@lmail.de||||||J|123456|
DÜVE|DÜVE|Frau||Düvelshövet|Sarah|w|23.01.1989|000|42103|Wuppertal|Koblankstraße 286|01234-733144|0197-424170|S.Düvelshövet@lmail.de||||||N|123456|
ELEN|ELEN|Frau||Elends|Jessika|w|11.11.1987|000|44309|Dortmund|Kanonierstraße 460|01234-432417|0197-613290|J.Elends@lmail.de||||||N|123456|
ERLE|ERLE|Herr||Erlenmeier|Benjamin|m|02.07.1986||46397|Bocholt|Eichbergstraße 276|01234-966362|0197-445744|B.Erlenmeier@lmail.de||||||N||
ESCH|ESCH|Herr||Eschholtz|David|m|11.05.1986|000|53111|Bonn|Pfeiffergasse 438|01234-384719|0197-320438|D.Eschholtz@lmail.de||||||N||
FARC|FARC|Herr||Farcke|Patrick|m|06.06.1989|000|45276|Essen|Markstädter Straße 35|01234-851696|0197-703015|P.Farcke@lmail.de||||||J||
FOKK|FOKK|Frau||Fokken|Simone|w|07.07.1956|000|53604|Bad Honnef|Buschdorfer Straße 354|01234-441657|0197-389316|S.Fokken@lmail.de||||||N|123456|
FORS|FORS|Frau||Forster|Nadine|w|26.05.1972|000|47669|Wachtendonk|Böhmallee 40|01234-552617|0197-854240|N.Forster@lmail.de||||||J|123456|
FRE1|FRE1|Herr||Freischlag|Felix|m|16.04.1985|000|59597|Erwitte|Schützengasse 143|01234-412573|0197-607771|F.Freischlag@lmail.de||||||J|123456|
FREI|FREI|Herr||Freitag|Markus|m|10.08.1954|000|50259|Pulheim|Lietzmannstraße 432|01234-436553|0197-586525|M.Freitag@lmail.de||||||N|123456|
FREU|FREU|Herr||Freundt|Thorsten|m|16.12.1984|000|53881|Euskirchen|Franklinstraße 312|01234-501620|0197-872621|T.Freundt@lmail.de||||||N|123456|
FRIE|FRIE|Herr||Friedrichsen|Ulrich|m|16.11.1977|000|51647|Gummersbach|Kleine Wallgasse 259|01234-857013|0197-425641|U.Friedrichsen@lmail.de||||||N|123456|
FUNK|FUNK|Frau||Funke|Anja|w|19.09.1992|000|47198|Duisburg|Sparwalds Hof 393|01234-420767|0197-157360|A.Funke@lmail.de||||||J|123456|
GAUD|GAUD|Frau||Gaudschun|Birgit|w|21.01.1988|000|45772|Marl|Bundesallee 475|01234-916025|0197-503275|B.Gaudschun@lmail.de||||||N||
GEER|GEER|Frau||Geerds|Heike|w|22.07.1993|000|59192|Bergkamen|Köllnischer Fischmarkt 440|01234-408814|0197-388542|H.Geerds@lmail.de||||||J|123456|
GÖDD|GÖDD|Frau||Gödde|Sabine|w|30.01.1980|000|34576|Homberg (EFZE)|Elmsteiner Weg 70|01234-906381|0197-585211|S.Gödde@lmail.de||||||J|123456|
GÖTS|GÖTS|Herr||Götsch|Bernd|m|20.12.1954|000|59889|Eslohe|Kapelle-Ufer 51|01234-987318|0197-341895|B.Götsch@lmail.de||||||N|123456|
GRAA|GRAA|Herr||Graalmann|Ralf|m|13.04.1966|000|58515|Lüdenscheid|Tegernseestraße 211|01234-592691|0197-483286|R.Graalmann@lmail.de||||||N|123456|
GRE1|GRE1|Frau||Grebe|Maria|w|15.05.1985|000|32545|Bad Oeynhausen|Schilfsängersteig 456|01234-891176|0197-413312|M.Grebe@lmail.de||||||J|123456|
GREB|GREB|Frau||Grebe|Sarah|w|22.05.1965|000|45768|Marl|Eichenallee 377|01234-155003|0197-341899|S.Grebe@lmail.de||||||N|123456|
GREV|GREV|Herr||Greve|Swen|m|28.10.1953|000|59872|Meschede|Schmaler Weg 200|01234-397457|0197-468554|S.Greve@lmail.de||||||N|123456|
GRÜN|GRÜN|Frau||Grünholz|Heike|w|29.01.1980|000|40699|Erkrath|Am Vogelherd 391|01234-735540|0197-669290|H.Grünholz@lmail.de||||||J|123456|
GUIN|GUIN|Herr||Guinand|Dominik|m|08.12.1986|000|47638|Straelen|Straße im Walde 370|01234-318666|0197-335220|D.Guinand@lmail.de||||||N||
GYRU|GYRU|Herr||Gyruth|Mario|m|26.08.1974|000|52459|Inden|Schützenstraße 288|01234-232471|0197-544907|M.Gyruth@lmail.de||||||J|123456|
HAG1|HAG1|Herr||Hagemann|Tom|m|15.03.1988|000|44809|Bochum|Bendigstraße 25|01234-480836|0197-303812|T.Hagemann@lmail.de||||||J|123456|
HAGE|HAGE|Frau||Hagedorn|Marina|w|10.04.1957|000|32312|Lübbecke|Alte Dahlwitzer Straße 59|01234-516983|0197-201432|M.Hagedorn@lmail.de||||||J|123456|
HAVE|HAVE|Herr||Havel|Swen|m|22.09.1989|000|50823|Köln|Bachstraße 372|01234-189603|0197-394783|S.Havel@lmail.de||||||J|123456|
HEMS|HEMS|Frau||Hemsingh|Andrea|w|13.05.1985|170|50733|Köln|Neue Ackerstraße 319|01234-960315|0197-693477|A.Hemsingh@lmail.de||||||J||
HERL|HERL|Herr||Herling|Markus|m|28.01.1966||42659|Solingen|Beethovenstraße 241|01234-637039|0197-352824|M.Herling@lmail.de||||||N||
HEYD|HEYD|Frau||Heydemann|Christin|w|12.02.1965|000|59556|Lippstadt|Fürstenplatz 202|01234-568171|0197-822744|C.Heydemann@lmail.de||||||J|123456|
HEYL|HEYL|Frau||Heyler|Lena|w|21.08.1977|000|32120|Hiddenhausen|Blücherstraße 477|01234-858221|0197-746488|L.Heyler@lmail.de||||||J|123456|
HINR|HINR|Herr||Hinrichs|Jörg|m|03.11.1977|000|47058|Duisburg|Eichenallee 346|01234-589925|0197-238214|J.Hinrichs@lmail.de|||||Schulleit|J||
HOLD|HOLD|||Hold|Felix|m|04.03.1969||50827|Köln|Goebelplatz 408|01234-920251|0197-865055|F.Hold@lmail.de||||||J||
HUBE|HUBE|Herr||Huber|Bernd|m|25.07.1980|000|40213|Düsseldorf|Prinzenstraße 457|01234-343542|0197-199563|B.Huber@lmail.de||||||N||
HUIß|HUIß|Frau||Huiß|Uta|w|03.09.1998|000|32657|Lemgo|Alte Allee 190|01234-717660|0197-243618|U.Huiß@lmail.de||||||J|123456|
ILLA|ILLA|Frau|Dr.|Illaire|Susanne|w|26.02.1953|000|41515|Grevenbroich|Feldweg 32|01234-487216|0197-399342|S.Illaire@lmail.de||||||N|123456|
INGE|INGE|Herr||Ingemanson|Stefan|m|31.05.1989|000|41061|Mönchengladbach|Bruno-Wille-Straße 85|01234-887624|0197-258768|S.Ingemanson@lmail.de||||||N|123456|
JACO|JACO|Frau||Jacobsen|Nicole|w|24.01.1989|000|45239|Essen|Ernst-Bumm-Weg 313|01234-211612|0197-439826|N.Jacobsen@lmail.de||||||N|123456|
JANN|JANN|Frau||Jannuk|Marie|w|03.03.1986|000|59439|Holzwickede|Am Glockenturm 161|01234-528630|0197-581848|M.Jannuk@lmail.de||||||N|123456|
JELI|JELI|Herr||Jelick|Lukas|m|08.03.1987|000|47239|Duisburg|Erlenbacher Steig 274|01234-247154|0197-767169|L.Jelick@lmail.de||||||N||
JENN|JENN|Frau||Jennings|Silke|w|13.05.1966|000|44388|Dortmund|Luisenplatz 474|01234-737648|0197-339099|S.Jennings@lmail.de||||||N|123456|
KALL|KALL|Frau||Kallenberger|Antje|w|23.06.1987|000|33442|Herzebrock-Clarholz|Buttenstedtweg 159|01234-937629|0197-415274|A.Kallenberger@lmail.de||||||N|123456|
KAU1|KAU1|Herr||Kaufmann|Michael|m|12.07.1987|000|45355|Essen|Neue Gasse zur Spree 482|01234-885511|0197-133541|M.Kaufmann@lmail.de||||||N||
KIES|KIES|Frau||Kiesinger|Sandra|w|18.06.1992|000|40547|Düsseldorf|Kastanienallee 341|01234-644369|0197-802630|S.Kiesinger@lmail.de||||||N|123456|
KIRS|KIRS|Frau||Kirstein|Diana|w|03.09.1956|000|51709|Marienheide|Max-Betcke-Straße 91|01234-729764|0197-732137|D.Kirstein@lmail.de||||||N|123456|
KIßL|KIßL|Frau||Kißler|Ursula|w|08.02.1974|000|59494|Soest|Poggendorffweg 462|01234-322499|0197-882949|U.Kißler@lmail.de||||||J|123456|
KLAU|KLAU|Frau||Klauß|Melanie|w|07.09.1993|000|40627|Düsseldorf|Stralauer Straße 110|01234-203866|0197-529384|M.Klauß@lmail.de||||||N||
KLEI|KLEI|Herr||Klein|Daniel|m|04.06.1987|000|44791|Bochum|Lappstraße 192|01234-818806|0197-927317|D.Klein@lmail.de||||||N||
KOR1|KOR1|Herr||Korn|Jan|m|23.01.1990|000|59067|Hamm|Parkstraße 122|01234-387446|0197-901445|J.Korn@lmail.de||||||N||
KORN|KORN|Herr||Korn|Alexander|m|18.10.1956|000|47495|Rheinberg|Spittelmarktstraße 173|01234-841928|0197-277232|A.Korn@lmail.de||||||N|123456|
KRÄM|KRÄM|Herr||Krämer|Maximilian|m|05.04.1994|000|58313|Herdecke|An den Bänken 475|01234-764576|0197-629418|M.Krämer@lmail.de||||||J|123456|
KREU|KREU|Frau||Kreusler|Vanessa|w|26.02.1986|000|41238|Mönchengladbach|Lehmgasse 455|01234-965469|0197-591407|V.Kreusler@lmail.de||||||J|123456|
KUHL|KUHL|Frau||Kuhlo|Kristin|w|09.05.1995|000|53940|Hellenthal|Kirchgasse 212|01234-931394|0197-543081|K.Kuhlo@lmail.de||||||N||
KÜHN|KÜHN|Herr||Kühn|Leon|m|06.08.1983|000|45525|Hattingen|Charlottenstraße 211|01234-717101|0197-817456|L.Kühn@lmail.de||||||J|123456|
LEIH|LEIH|Frau||Leihe|Kristin|w|11.06.1990|000|40223|Düsseldorf|Peter-Gast-Weg 16|01234-235193|0197-363173|K.Leihe@lmail.de||||||N|123456|
LEU|LEU|Frau||Leu|Christine|w|13.07.1993|000|40231|Düsseldorf|Straße zum Müggelturm 182|01234-475114|0197-851419|C.Leu@lmail.de||||||N|123456|
