Nachname|Vorname|Geburtsdatum|Geschlecht|Status|PLZ|Ort|Straße|Aussiedler|1. Staatsang.|Konfession|StatistikKrz Konfession|Aufnahmedatum|Abmeldedatum Religionsunterricht|Anmeldedatum Religionsunterricht|Schulpflicht erf.|Reform-Pädagogik|Nr. Stammschule|Jahr|Abschnitt|Jahrgang|Klasse|Schulgliederung|OrgForm|Klassenart|Fachklasse|Noch frei|Verpflichtung Sprachförderkurs|Teilnahme Sprachförderkurs|Einschulungsjahr|Übergangsempf. JG5|Jahr Wechsel S1|1. Schulform S1|Jahr Wechsel S2|Förderschwerpunkt|2. Förderschwerpunkt|Schwerstbehinderung|Autist|LS Schulnr.|LS Schulform|Herkunft|LS Entlassdatum|LS Jahrgang|LS Versetzung|LS Reformpädagogik|LS Gliederung|LS Fachklasse|LS Abschluss|Abschluss|Schulnr. neue Schule|Zuzugsjahr|Geburtsland Schüler|Geburtsland Mutter|Geburtsland Vater|Verkehrssprache|Dauer Kindergartenbesuch|Ende Eingliederungsphase|Ende Anschlussförderung
Blöser|Sabine|25.03.2010|w|2|52068|Aachen|Pflugk-Harttung-Straße 379|N|000|evangelisch|ER|01.08.2020|||N|||2021|1|06|06A|GY9|1|RK|||N|N|2016|R/Gy|2020|GY||||N|N|111259|G|G|30.07.2020|04|11||||||||||||||
Eylers|Gabriele|02.05.2010|5|2|34434|Borgentreich|Spreestraße 202|N|000|ohne Bekenntnis|OH|01.08.2020|||N|||2021|1|06|06A|GY9|1|RK|||N|N|2016|R|2020|GY||||N|N|135148|G|G|31.07.2020||11||||||||||||||
Hilbers|Antje|05.06.2009|w|2|45134|Essen|Schmale Straße 131|N|475|islamisch|IR|01.08.2020|||N|||2021|1|06|06A|GY9|1|RK|||N|N|2016|Gy|2020|GY||||N|N|111259|G|G|31.07.2019||11|||||||2012|475|475|475|ar|||
Himmelstützer|Tanja|30.03.2010|w|2|58739|Wickede|Kleine Frankfurter Straße 196|N|000|ohne Bekenntnis|OH|01.08.2020|||N|||2021|1|06|06A|GY9|1|RK|||N|N|2016|Gy|2020|GY||||N|N|131581|G|G|31.07.2020||11||||||||||||||
Huiß|Ines|23.12.2009|w|2|44627|Herne|Mariannensteig 108|N|000|ohne Bekenntnis|OH|01.08.2020|||N|||2021|1|06|06A|GY9|1|RK|||N|N|2016|R/Gy|2020|GY||||N|N|192557|G|G|30.07.2020|04|11||||||||||||||
Jacobs|Annett|20.06.2010|w|2|48431|Rheine|Scharnweberstraße 82|N|000|katholisch|KR|01.08.2020|||N|||2021|1|06|06A|GY9|1|RK|||N|N|2016|Gy||||||N|N|192557|G|G|30.07.2020|04|11||||||||||||||
Koch|Kathrin, Katrin|21.05.2010|w|2|48612|Horstmar|Ekhofplatz 305|N|000|islamisch|IR|01.08.2020|||N|||2021|1|06|06A|GY9|1|RK|||N|N|2016|Gy|2020|GY||||N|N|131581|G|G|31.01.2020||11||||||||000|000|000|tr|||
Kroh|Tom|14.07.2009|m|2|50668|Köln|Barbenweg 252|N|436|hindu|XR|01.08.2020|||N|||2021|1|06|06A|GY9|1|RK|||N|N|2015|R|2020|Gy||||N|N||G|G|31.07.2020|04|11||||||||436|436|436|te|||
Lückels|Markus|14.07.2010|m|2|47807|Krefeld|Forststraße 259|N|000|islamisch|IR|01.08.2020|||N|||2021|1|06|06A|GY9|1|RK|||N|N|2016|R|2020|GY||||N|N|131581|G|G|30.07.2020|04|11|||||||||000|163|tr|||
Lüdersdorf|Andrea|20.04.2010|w|2|42103|Wuppertal|Kurstraße 468|N|000|ohne Bekenntnis|OH|01.08.2020|||N|||2021|1|06|06A|GY9|1|RK|||N|N|2016|R|2020|GY||||N|N|192557|G|G|30.07.2020|04|11|||||||||000|148|de|||
Mörchen-Womelsdorf|Diana|23.06.2010|w|2|41542|Dormagen|Ohmstraße 406|N|000|evangelisch|ER|01.08.2020|||N|||2021|1|06|06A|GY9|1|RK|||N|N|2016|Gy|2020|GY||||N|N|111259|G|G|31.07.2020||11||||||||||||||
Ottens|Petra|20.02.2010|w|2|40212|Düsseldorf|Fasanenstraße 85|N|000|ohne Bekenntnis|OH|01.08.2020|||N|||2021|1|06|06A|GY9|1|RK|||N|N|2016|Gy|2020|GY||||N|N|131581|G|G|31.07.2020||11||||||||||||||
Petersdatter|Jessica|07.08.2010|w|2|50129|Bergheim|Adlerhorst 117|N|000|islamisch|IR|01.08.2020|||N|||2021|1|06|06A|GY9|1|RK|||N|N|2016|Gy|2020|GY||||N|N|116490|G|G|30.07.2020||11||||||||163|000|163|tr|||
Ravendt|Thorsten|05.01.2010|m|2|50739|Köln|Kommandantenstraße 372|N|160|islamisch|IR|18.08.2020|||N|||2021|1|06|06A|GY9|1|RK|||N|N|2016||2020|||||N|N|||AS|||99|||||||2020|160|160|160|ru||17.08.2023|
