Nachname|Vorname|Geburtsdatum|Erzieherart|Anrede 1.Person|Titel 1.Person|Nachname 1.Person|Vorname 1.Person|Anrede 2.Person|Titel 2.Person|Nachname 2.Person|Vorname 2.Person|Straße|PLZ|Ort|Ortsteil|E-Mail 1. Person|Anschreiben|E-Mail 2. Person
Abraham|Claudia|12.11.2007|Mutter|Frau||Abraham|Yesim|||||Schüßlerplatz 282|47509|Rheurdt||Abraham@email.de|J|
Abraham|Claudia|12.11.2007|Vater|Herr||Abraham|Kaya|||||Schüßlerplatz 282|47509|Rheurdt||Abraham@email.de|J|
Abraham|René|16.09.2007|Eltern|Frau||Abraham|Christina|Herr||Abraham|Xenofon|Birkheidering 224|42327|Wuppertal||Abraham@email.de|J|
Achterberg|Ulrike|22.05.2006|Vater|Herr||Achterberg|Abdelasis|||||Schönweiber-Gasse 33|48231|Warendorf||Achterberg@email.de|J|
Ackolck|Monika|16.03.2007|Eltern|Frau||Ackolck|Ulrike|Herr||Ackolck|Stefan|Gatschkestraße 113|59269|Beckum||Ackolck@email.de|J|
Adams|Susanne|28.06.2005|Eltern|Frau||Adams|Katja|Frau||Adams|Thomas|Delpzeile 129|52066|Aachen||Adams@email.de|J|ihlo@ihlo.de
Adams|Lisa|03.03.2009|Eltern|Frau||Adams|Lidie|Herr||Adams|Xhafer|Letzte Straße 478|44536|Lünen||Adams@email.de|J|xhaferi1978@gmail.com
Addens|Benjamin|13.07.2008|Eltern|Frau||Addens|Barbara|Herr||Addens|Dennis|Alter Radelander Weg 101|42105|Wuppertal||Addens@email.de|J|
Ahlenstiel|Daniela|11.03.2009|Eltern|Frau||Ahlenstiel|Melanie|Herr||Ahlenstiel|Simon|Berlewitzweg 285|50933|Köln||Ahlenstiel@email.de|J|srsharkman@gmail.com
Albert|Marie|23.01.2009|Eltern|Frau||Albert|Andrea|Herr||Albert|Ralf|Straße von Rosenthal 285|59399|Olfen||Albert@email.de|J|
Amler|Jessika|23.11.2007|Eltern|Frau||Amler|Marina|Herr|Dr.|Amler|Michael|Am Rupenhorn 261|40477|Düsseldorf||Amler@email.de|J|michael.herm@t-online.de
Andreae|Christian|21.08.2010|Mutter|Frau||Andreae|Maike|||||Albert-Beyer-Straße 287|53639|Königswinter||Andreae@email.de|J|
Andreae|Christian|21.08.2010|Vater|Herr||Andreae|Ali|||||Albert-Beyer-Straße 287|53639|Königswinter||Andreae@email.de|J|
Andresen|Katja|22.05.2009|Eltern|Frau||Andresen|Christina|Herr||Andresen|Sebastian|Am Spielplatz 319|47803|Krefeld||Andresen@email.de|J|
Arbat|Alexander|30.11.2003|Vater|Herr||Arbat|Martin|||||Turmallee	 79|32676|Lügde||Arbat@email.de|J|
Arentz|Steffen|08.05.2006|Eltern|Frau||Arentz|Simone|Herr||Arentz|Thorsten|Biedermeierweg 338|51688|Wipperfürth||Arentz@email.de|J|
Aßmann|Barbara|02.03.2002|Schülerin ist volljährig|Frau||Aßmann|Barbara|||||Linienstraße 36|50937|Köln||Aßmann@email.de|J|
Aßmann|Barbara|02.03.2002|Eltern|Frau||Aßmann|Doris|Herr||Aßmann|Ulrich|Linienstraße 36|50937|Köln||Aßmann@email.de|J|
Auer|Stefanie|29.09.2004|Eltern|Frau||Auer|Doris|Herr||Auer|Ulrich|Einsteinufer 59|47279|Duisburg||Auer@email.de|J|
Bahnsen|Markus|08.01.2009|Eltern|Frau||Bahnsen|Britta|Herr||Bahnsen|Lars|Kleine Frankfurter Straße 324|53937|Schleiden||Bahnsen@email.de|J|lars.franke@t-online.de
Bare|Kristin|13.11.2003|Schülerin ist volljährig|Frau||Bare|Kristin|||||Sportallee 257|44309|Dortmund|||J|
Bare|Kristin|13.11.2003|Eltern|Frau||Bare|Renata|Herr||Bare|Oliver|Sportallee 257|44309|Dortmund||Bare@email.de|J|
Bareyre|Kathrin, Katrin|24.03.2008|Mutter|Frau||Bareyre|Lina|||||Kleine Ackerstraße 13|45149|Essen||Bareyre@email.de|J|
Bareyre|Kathrin, Katrin|24.03.2008|Vater|Herr||Bareyre|Jahem|||||Kleine Ackerstraße 13|45149|Essen||Bareyre@email.de|J|
