Nachname|Vorname|Geburtsdatum|Telefonnr.|Art
Abraham|René|16.09.2007|01234-951699|Handy Vater
Abraham|Claudia|12.11.2007|01234-115366|Mutter
Abraham|Claudia|12.11.2007|01234-489507|Tante
Abraham|René|16.09.2007|01234-121833|Handy Mutter
Abraham|Claudia|12.11.2007|01234-467195|Handy Mutter
Achterberg|Ulrike|22.05.2006|01234-641650|Notfallnummer
Achterberg|Ulrike|22.05.2006|01234-929202|Dienststelle Vater
Achterberg|Ulrike|22.05.2006|01234-852108|Eltern
Ackolck|Monika|16.03.2007|01234-584168|Eltern
Adams|Susanne|28.06.2005|01234-522722|Dienststelle Vater
Adams|Susanne|28.06.2005|01234-872903|Handy Vater
Adams|Susanne|28.06.2005|01234-780645|Handy Mutter
Adams|Susanne|28.06.2005|01234-306410|Eltern
Adams|Lisa|03.03.2009|01234-222038|Notfallnummer
Adams|Lisa|03.03.2009|01234-284080|Handy Vater
Adams|Lisa|03.03.2009|01234-836160|Handy Mutter
Addens|Benjamin|13.07.2008|01234-323345|Dienststelle Mutter
Addens|Benjamin|13.07.2008|01234-211528|Eltern
Addens|Benjamin|13.07.2008|01234-330648|Handy Mutter
Addens|Benjamin|13.07.2008|01234-116062|Handy Vater
Addens|Benjamin|13.07.2008|01234-259708|Dienststelle Vater
Addens|Benjamin|13.07.2008|01234-806185|Notfallnummer
Ahlenstiel|Daniela|11.03.2009|01234-578008|Handy Großmutter
Ahlenstiel|Daniela|11.03.2009|01234-848999|Handy Vater
Ahlenstiel|Daniela|11.03.2009|01234-803813|Dienststelle Vater
Ahlenstiel|Daniela|11.03.2009|01234-923406|Dienststelle Mutter
Ahlenstiel|Daniela|11.03.2009|01234-621456|Handy Großmutter
Ahlenstiel|Daniela|11.03.2009|01234-429020|Oma
Ahlenstiel|Daniela|11.03.2009|01234-160011|Handy Mutter
Ahlenstiel|Daniela|11.03.2009|01234-386269|Oma
Albert|Marie|23.01.2009|01234-348005|Eltern
Albert|Marie|23.01.2009|01234-593304|Großeltern
Albert|Marie|23.01.2009|01234-249053|Dienststelle Mutter
Albert|Marie|23.01.2009|01234-821533|Handy Mutter
