Nachname|Vorname|Geburtsdatum|Namenszusatz|Geburtsname|Geburtsort|Ortsteil|Telefon-Nr.|E-Mail|2. Staatsang.|Externe ID-Nr|Sportbefreiung|Fahrschülerart|Haltestelle|Einschulungsart|Entlassdatum|Entlassjahrgang|Datum Schulwechsel|Bemerkungen|BKAZVO|BeginnBildungsgang|Anmeldedatum|Bafög|EP-Jahre|Fax/Mobilnr|Ausweisnummer|schulische E-Mail|Masern-Impfnachweis
Blöser|Sabine|25.03.2010|||Essen||01234-361123|S.Blöser@smail.de||||||51||||||01.08.2015|20.02.2020|N|2|0189-339573||lina.stratmann@neg-velbert.de|N
Eylers|Gabriele|02.05.2010|||Hilden||01234-369618|G.Eylers@smail.de||||||51||||||01.08.2015|27.02.2020|N|2|0189-335227||hedy.viefhaus@neg-velbert.de|N
Hilbers|Antje|05.06.2009|||Burbach||01234-939057|A.Hilbers@smail.de||||||51||||||01.08.2015|19.02.2020|N|2|0189-719565||rafif.adi@neg-velbert.de|N
Himmelstützer|Tanja|30.03.2010|||Plettenberg||01234-785750|T.Himmelstützer@smail.de||||||51||||||01.08.2015|20.02.2020|N|2|0189-687217||lynn.zarth@neg-velbert.de|N
Huiß|Ines|23.12.2009|||Dortmund||01234-646727|I.Huiß@smail.de||||||51||||m,nngnxnbxnb,xmnbm,n  lfgkdgdlgsdng||01.08.2015|26.02.2020|N|2|0189-317113||alessia.klug@neg-velbert.de|N
Jacobs|Annett|20.06.2010|||Wuppertal||01234-478558|A.Jacobs@smail.de||||||51|||||||17.02.2020|N|2|0189-995727||hann.kleinschnittger@neg-velbert.de|N
Koch|Kathrin, Katrin|21.05.2010|||Wesel||01234-399930|K.Koch@smail.de|163|||||51||||||01.08.2015|18.02.2020|N|2|0189-804094||suzan.posul@neg-velbert.de|N
Kroh|Tom|14.07.2009|||Beckum||01234-950785|T.Kroh@smail.de||||||51|||||||24.06.2020|N|2|0189-431527||harindhra.dasari@neg-velbert.de|N
Lückels|Markus|14.07.2010|||Oberhausen||01234-328120|M.Lückels@smail.de||||||51||||||01.08.2015|27.02.2020|N|2|0189-269829||kemal.altinkaynak@neg-velbert.de|N
Lüdersdorf|Andrea|20.04.2010|||Herford||01234-830671|A.Lüdersdorf@smail.de||||||51||||||01.08.2015|27.02.2020|N|2|0189-432561||felicia.harmel@neg-velbert.de|N
Mörchen-Womelsdorf|Diana|23.06.2010|||Herten||01234-993696|D.Mörchen-Womelsdorf@smail.de||||||51||||||01.08.2015|20.02.2020|N|2|0189-296380||lotta.vogt@neg-velbert.de|N
Ottens|Petra|20.02.2010|||Bad Driburg||01234-493596|P.Ottens@smail.de||||||51||||||01.08.2015|20.02.2020|N|2|0189-687369||leni.kindler@neg-velbert.de|N
Petersdatter|Jessica|07.08.2010|||Gütersloh||01234-972295|J.Petersdatter@smail.de|163|||||51||||||01.08.2015|26.02.2020|N|2|0189-450093||aylin.aksoy@neg-velbert.de|N
Ravendt|Thorsten|05.01.2010|||Kamen||01234-266687|T.Ravendt@smail.de||||||51|||||||18.08.2020|N|2|0189-791752||tamerlan.munaev@neg-velbert.de|N
Saam|Doreen|23.10.2010|||Düsseldorf||01234-779355|D.Saam@smail.de||||||51||||||01.08.2015|17.02.2020|N|2|0189-670105||michelle.kroeger@neg-velbert.de|N
Schliep|Dennis|16.12.2009|||Leichlingen||01234-255259|D.Schliep@smail.de||||||51||||||01.08.2015|17.02.2020|N|2|0189-427923||thies.guenther@neg-velbert.de|N
Schmischke|Marina|05.02.2010|||Neuss||01234-647407|M.Schmischke@smail.de||||||51||||||01.08.2015|19.02.2020|N|2|0189-244428||lea.zapf@neg-velbert.de|N
Schwarzrock|Marcel|09.04.2010|||Ennepetal||01234-813491|M.Schwarzrock@smail.de||||||51||||||01.08.2015|20.02.2020|N|2|0189-124092||halil.kizilkaya@neg-velbert.de|N
Sehner|Michael|01.07.2010|||Duisburg||01234-102679|M.Sehner@smail.de||||||51||||||01.08.2015|26.02.2020|N|2|0189-303286||alexander.hanz@neg-velbert.de|N
Stolzenberg|Jessika|10.02.2010|||Bochum||01234-615502|J.Stolzenberg@smail.de|137|||||51||||||01.08.2015|19.02.2020|N|2|0189-646781||ilaria.dentamaro@neg-velbert.de|N
Thiede|Felix|31.05.2010|||Oberhausen||01234-335057|F.Thiede@smail.de||||||51||||||01.08.2015|17.02.2020|N|2|0189-373779||jan.felderhoff@neg-velbert.de|N
Thomsen|Sara|29.07.2010|||Rheinberg||01234-376036|S.Thomsen@smail.de|170|||||51||||||01.08.2015|20.02.2020|N|2|0189-673634||anastasij.mladenovic@neg-velbert.de|N
Vogel|Marina|07.02.2010|||Recklinghausen||01234-418684|M.Vogel@smail.de|999|||||51||||||01.08.2015|19.02.2020|N|2|0189-884226||marie.wafeu@neg-velbert.de|N
Volkmann|Silke|14.11.2009|||Kamp-Lintfort||01234-538341|S.Volkmann@smail.de||||||51||||||01.08.2015|20.02.2020|N|2|0189-291825||kristina.krakowezki@neg-velbert.de|N
